CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
277,1.3862943611198906,2.5494451709255714,2.2082744135228043,2.4159137783010487,0,0,0,1,0,0,0,0
273,1.3862943611198906,2.525728644308256,2.2407096892759584,2.4069451083182885,0,0,0,1,0,0,0,0
265,1.3862943611198906,2.509599262378372,2.19722457733622,2.379546134130174,0,0,0,1,0,0,0,0
286,1.3862943611198906,2.5726122302071057,2.2823823856765264,2.451005098112319,0,0,0,1,0,0,0,0
183,1.0986122886681098,2.151762203259462,1.9021075263969205,2.066862759472976,0,1,0,0,0,0,0,0
184,1.0986122886681098,2.151762203259462,1.9021075263969205,2.066862759472976,0,1,0,0,0,0,0,0
177,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0149030205422647,0,1,0,0,0,0,0,0
178,1.0986122886681098,2.174751721484161,1.824549292051046,2.0149030205422647,0,1,0,0,0,0,0,0
180,1.0986122886681098,2.151762203259462,1.88706964903238,2.0412203288596382,0,1,0,0,0,0,0,0
179,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0412203288596382,0,1,0,0,0,0,0,0
175,1.0986122886681098,2.151762203259462,1.824549292051046,2.0149030205422647,0,1,0,0,0,0,0,0
176,1.0986122886681098,2.151762203259462,1.8082887711792652,2.0149030205422647,0,1,0,0,0,0,0,0
185,1.0986122886681098,2.174751721484161,1.88706964903238,2.066862759472976,0,1,0,0,0,0,0,0
182,1.0986122886681098,2.174751721484161,1.840549633397487,2.0412203288596382,0,1,0,0,0,0,0,0
277,1.3862943611198906,2.5494451709255714,2.2082744135228043,2.4159137783010487,0,0,0,1,0,0,0,0
213,1.3862943611198906,2.341805806147327,1.9740810260220096,2.174751721484161,0,0,0,1,0,0,0,0
213,1.3862943611198906,2.341805806147327,1.9740810260220096,2.174751721484161,0,0,0,1,0,0,0,0
224,1.3862943611198906,2.379546134130174,2.0149030205422647,2.2407096892759584,0,0,0,1,0,0,0,0
244,1.3862943611198906,2.4159137783010487,2.174751721484161,2.302585092994046,0,0,0,1,0,0,0,0
183,1.0986122886681098,2.163323025660538,1.9021075263969205,2.0541237336955462,0,1,0,0,0,0,0,0
183,1.0986122886681098,2.163323025660538,1.9021075263969205,2.0541237336955462,0,1,0,0,0,0,0,0
212,1.3862943611198906,2.322387720290225,1.9878743481543453,2.186051276738094,0,0,0,1,0,0,0,0
211,1.0986122886681098,2.26176309847379,2.066862759472976,2.186051276738094,0,1,0,0,0,0,0,0
233,1.3862943611198906,2.3978952727983707,2.151762203259462,2.2925347571405443,0,0,0,1,0,0,0,0
252,1.335001067,2.468099531471619,2.163323025660538,2.341805806147327,0,1,0,0,0,0,0,0
277,1.335001067,2.5649493574615367,2.2192034840549946,2.424802725718295,0,1,0,0,0,0,0,0
252,1.335001067,2.468099531471619,2.163323025660538,2.341805806147327,0,1,0,0,0,0,0,0
277,1.335001067,2.5649493574615367,2.2192034840549946,2.424802725718295,0,1,0,0,0,0,0,0
267,1.3862943611198906,2.501435951739211,2.2407096892759584,2.388762789235098,0,0,0,1,0,0,0,0
254,1.3862943611198906,2.451005098112319,2.2082744135228043,2.341805806147327,0,0,0,1,0,0,0,0
254,1.3862943611198906,2.451005098112319,2.2082744135228043,2.341805806147327,0,0,0,1,0,0,0,0
200,1.1314021114911006,2.26176309847379,1.9459101490553128,2.128231705849268,0,1,0,0,0,0,0,0
322,1.3862943611198906,2.681021528714291,2.3978952727983707,2.5649493574615367,0,0,0,1,0,0,0,0
246,1.3862943611198906,2.4069451083182885,2.19722457733622,2.322387720290225,0,0,0,1,0,0,0,0
253,1.3862943611198906,2.4336133554004498,2.2192034840549946,2.341805806147327,0,0,0,1,0,0,0,0
270,1.3862943611198906,2.501435951739211,2.2407096892759584,2.379546134130174,0,0,0,1,0,0,0,0
272,1.3862943611198906,2.533696813957432,2.2407096892759584,2.4159137783010487,0,0,0,1,0,0,0,0
264,1.3862943611198906,2.509599262378372,2.19722457733622,2.379546134130174,0,0,0,1,0,0,0,0
283,1.3862943611198906,2.5726122302071057,2.2823823856765264,2.451005098112319,0,0,0,1,0,0,0,0
270,1.3862943611198906,2.501435951739211,2.2407096892759584,2.379546134130174,0,0,0,1,0,0,0,0
189,1.0986122886681098,2.186051276738094,1.9315214116032136,2.079441541679836,0,1,0,0,0,0,0,0
189,1.0986122886681098,2.186051276738094,1.9315214116032136,2.079441541679836,0,1,0,0,0,0,0,0
211,1.0986122886681098,2.272125885509337,2.091864061678393,2.19722457733622,0,1,0,0,0,0,0,0
249,1.3862943611198906,2.424802725718295,2.19722457733622,2.332143895,0,0,0,1,0,0,0,0
255,1.335001067,2.468099531471619,2.186051276738094,2.3513752571634776,0,1,0,0,0,0,0,0
280,1.335001067,2.5726122302071057,2.2407096892759584,2.4336133554004498,0,1,0,0,0,0,0,0
315,1.335001067,2.602689685444384,2.4595888418037104,2.5416019934645457,0,1,0,0,0,0,0,0
172,0.9555114450274363,2.151762203259462,1.791759469228055,2.0014800002101243,0,1,0,0,0,0,0,0
169,0.9555114450274363,2.163323025660538,1.7047480922384253,1.9878743481543453,0,1,0,0,0,0,0,0
255,1.335001067,2.468099531471619,2.186051276738094,2.3513752571634776,0,1,0,0,0,0,0,0
280,1.335001067,2.5726122302071057,2.2407096892759584,2.4336133554004498,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
278,1.3862943611198906,2.5494451709255714,2.26176309847379,2.4336133554004498,0,0,0,1,0,0,0,0
289,1.3862943611198906,2.5877640352277083,2.2823823856765264,2.468099531471619,0,0,0,1,0,0,0,0
184,1.0986122886681098,2.174751721484161,1.9315214116032136,2.079441541679836,0,1,0,0,0,0,0,0
184,1.0986122886681098,2.174751721484161,1.9315214116032136,2.079441541679836,0,1,0,0,0,0,0,0
246,1.3862943611198906,2.424802725718295,2.19722457733622,2.332143895,0,0,0,1,0,0,0,0
257,1.335001067,2.468099531471619,2.19722457733622,2.360854001118021,0,1,0,0,0,0,0,0
279,1.335001067,2.5726122302071057,2.2300144001592104,2.4336133554004498,0,1,0,0,0,0,0,0
315,1.335001067,2.602689685444384,2.4595888418037104,2.5416019934645457,0,1,0,0,0,0,0,0
175,0.9555114450274363,2.163323025660538,1.791759469228055,2.0149030205422647,0,1,0,0,0,0,0,0
170,0.9555114450274363,2.174751721484161,1.7227665977411035,1.9878743481543453,0,1,0,0,0,0,0,0
178,0.9555114450274363,2.174751721484161,1.824549292051046,2.028148247292285,0,1,0,0,0,0,0,0
180,0.9555114450274363,2.2082744135228043,1.7749523509116738,2.0412203288596382,0,1,0,0,0,0,0,0
198,0.9555114450274363,2.2512917986064958,1.9459101490553128,2.128231705849268,0,1,0,0,0,0,0,0
198,0.9555114450274363,2.2512917986064958,1.9600947840472696,2.128231705849268,0,1,0,0,0,0,0,0
256,1.3862943611198906,2.468099531471619,2.19722457733622,2.3513752571634776,0,0,0,1,0,0,0,0
260,1.3862943611198906,2.468099531471619,2.2407096892759584,2.3702437414678603,0,0,0,1,0,0,0,0
288,1.3862943611198906,2.5494451709255714,2.332143895,2.4595888418037104,0,0,0,1,0,0,0,0
288,1.3862943611198906,2.5494451709255714,2.332143895,2.4595888418037104,0,0,0,1,0,0,0,0
266,1.3862943611198906,2.501435951739211,2.2407096892759584,2.388762789235098,0,0,0,1,0,0,0,0
257,1.335001067,2.468099531471619,2.19722457733622,2.360854001118021,0,1,0,0,0,0,0,0
279,1.335001067,2.5726122302071057,2.2300144001592104,2.4336133554004498,0,1,0,0,0,0,0,0
198,0.9555114450274363,2.2512917986064958,1.9459101490553128,2.128231705849268,0,1,0,0,0,0,0,0
198,0.9555114450274363,2.2512917986064958,1.9600947840472696,2.128231705849268,0,1,0,0,0,0,0,0
218,1.0986122886681098,2.2925347571405443,2.1041341542702074,2.2082744135228043,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
186,1.0986122886681098,2.174751721484161,1.916922612182061,2.066862759472976,0,1,0,0,0,0,0,0
268,1.3862943611198906,2.501435951739211,2.2512917986064958,2.3978952727983707,0,0,0,1,0,0,0,0
229,1.0986122886681098,2.322387720290225,2.174751721484161,2.2512917986064958,0,1,0,0,0,0,0,0
278,1.3862943611198906,2.5494451709255714,2.26176309847379,2.4336133554004498,0,0,0,1,0,0,0,0
289,1.3862943611198906,2.5877640352277083,2.2823823856765264,2.468099531471619,0,0,0,1,0,0,0,0
270,1.335001067,2.5494451709255714,2.186051276738094,2.4069451083182885,0,1,0,0,0,0,0,0
283,1.335001067,2.580216829592325,2.2407096892759584,2.4423470353692043,0,1,0,0,0,0,0,0
326,1.335001067,2.660259537265861,2.451005098112319,2.5726122302071057,0,1,0,0,0,0,0,0
