,iteration,cost,bias,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,0,301.0964151608337,0.0170384676860781,0.6549490961139319,-0.4525620541697669,0.9300667703213445,-0.08655733365039193,0.680396144489582,-0.614139050356043,-0.17475869223727802,0.39440465672210473,-0.7277430552201584,-0.7389990368115167
1,200,215.78134445486936,3.1864302028377485,0.5003304344708684,0.18141245827224184,0.8417696677210238,-0.2576953818462264,0.17418503657390147,-1.0671697758948144,0.1596596921769924,-0.27980016304131317,-1.3617188740742985,-1.3842161962073756
2,400,159.9591177442289,5.925178475097979,0.3567970818359441,0.509549411704922,0.7567900850508,-0.3646903205751824,-0.04879492332331497,-1.3531775569393474,0.2771827647825691,-0.6342069438886361,-1.6692119339258378,-1.7070558156850637
3,600,120.19811017849688,8.291797285773159,0.22761377515612868,0.6820453681305498,0.6791042853483773,-0.4342118744299544,-0.13511225332346438,-1.5501231561229798,0.29165214568436204,-0.8297013347276311,-1.8159776065576974,-1.8712862681701143
4,800,90.97087503802445,10.336850002655124,0.11316616667004507,0.773999248868374,0.6098929607300592,-0.48063327816781687,-0.15666817515129663,-1.6972278040253308,0.25887591204475996,-0.9459418631049978,-1.8839413530107483,-1.9577614213326302
5,1000,69.2523161073078,12.104029658272395,0.012587197212713725,0.8232161977586906,0.549065477813132,-0.5120141864106722,-0.14853459448692477,-1.8144863770312036,0.20603355864434833,-1.022385949292606,-1.913557757332281,-2.0063433946708003
6,2000,20.104536613636576,17.927732184261757,-0.3300506090242957,0.8586310072373816,0.34525800872354784,-0.5610307411919194,-0.024806778560943044,-2.1925484480930293,-0.08076218467564404,-1.235408356153247,-1.920270098580074,-2.1067912263747415
7,3000,8.604922036768421,20.73368368835724,-0.5081798763999635,0.8055530875509679,0.24583717166171293,-0.5434571735805731,0.07990828393173934,-2.4008231097284103,-0.29231620687987997,-1.390131237561854,-1.9080332994544598,-2.181078505253782
8,4000,5.874479552173792,22.085635270396207,-0.6059982379690992,0.7350198416562673,0.19712552114606224,-0.5125854165273777,0.16373386714553068,-2.5208263788675547,-0.44075804833034293,-1.5233729607306554,-1.9024504608703423,-2.254302394238503
9,5000,5.199822606562865,22.737026813517996,-0.6637733020005069,0.6631847107875363,0.1728700653302459,-0.48330641575550737,0.23638810926013973,-2.5906646250250907,-0.5461340339271938,-1.6386057642498162,-1.8997376370255403,-2.323481153678264
10,6000,5.014573279803392,23.05087750764613,-0.7006863818495195,0.5956874454848258,0.16040651563597755,-0.4591599738658334,0.3016384675680049,-2.631772526949287,-0.621626479053701,-1.7382858017406462,-1.897687722518157,-2.386978367253793
11,7000,4.950766686750386,23.202095710038943,-0.7260589641420145,0.5343421647565861,0.1536213657956654,-0.44017846051887594,0.3608285181708326,-2.6563207484254385,-0.6761194023160157,-1.8247072533464543,-1.8953937959332023,-2.444232648497964
12,8000,4.920484496216846,23.27495501913945,-0.7445766535121382,0.47945155127190203,0.1495728825806249,-0.4254844472453306,0.4144881081815535,-2.6712430302596366,-0.7157430707471739,-1.8999143188939547,-1.892574631686429,-2.495237513003971
13,9000,4.901775850326885,23.310059780594163,-0.7587108601574906,0.43072786607429936,0.1468575225222608,-0.4141206694702508,0.4629259373840341,-2.6805124258535615,-0.7447704349968695,-1.965656926697594,-1.8892162607336718,-2.5402723091980888
14,10000,4.888530048005067,23.326973806982902,-0.7698467504457,0.3876706121904335,0.14481509994768524,-0.40527935603290915,0.5064279983300336,-2.6864232541200113,-0.7661932009363335,-2.023398980498394,-1.8854011677506355,-2.579758023203239
15,20000,4.8482883395099385,23.34269012632216,-0.8143715351025026,0.1616171167844484,0.13496718309627762,-0.3730456347723079,0.7441776555697659,-2.700843988680106,-0.8250497349232797,-2.348121110746023,-1.8384365338933222,-2.769125524078446
16,30000,4.844237657627852,23.342700722777717,-0.8209397944049653,0.10336935000602657,0.13342158269386423,-0.36787118614783537,0.8069243709909923,-2.7051198189706454,-0.8187295522467258,-2.4783086115585813,-1.7922343571784256,-2.7921900452194084
17,40000,4.843174323794536,23.34270072992181,-0.8192660252146543,0.09109024794886494,0.13441870244729687,-0.36776752071801827,0.820071976840664,-2.7082603179719507,-0.8049166404792888,-2.5494037389307374,-1.7507078942768886,-2.7762769108886305
18,50000,4.842576650404998,23.342700729924573,-0.8157472748591164,0.09114380872664446,0.13593632063197983,-0.36894596803995516,0.819959124191374,-2.710685692517258,-0.7917708068916312,-2.5978534463568197,-1.7140915084755546,-2.7550014888808656
19,60000,4.842177306611355,23.342700729924573,-0.8120840732013902,0.09430309794998688,0.13742494463774052,-0.3703883318215761,0.8165594382879813,-2.712584458242997,-0.7807491705311717,-2.634820357005772,-1.6821870969481756,-2.7361278854310043
20,70000,4.841903145741106,23.342700729924573,-0.808723497086373,0.0980110916450761,0.13875284989211661,-0.3717978274552054,0.8126140761833178,-2.714085283075682,-0.7717990803611771,-2.6643780810483846,-1.6546277539416474,-2.720787890945844
21,80000,4.841713549518925,23.342700729924573,-0.8057623325838813,0.10155456033938404,0.13990209114631524,-0.3730864228097861,0.8088727443934103,-2.715281070278381,-0.7645750931854095,-2.6884567078025725,-1.6309772751622185,-2.7085846908982565
22,90000,4.841581936538516,23.342700729924573,-0.8031967173032536,0.10474380194540316,0.140884878018153,-0.37423152269769827,0.8055253914400863,-2.7162404582156565,-0.7587338691639594,-2.7082326167042847,-1.6107841284268323,-2.6988956665165977
23,100000,4.841490348395818,23.342700729924573,-0.800993647550395,0.10754509379945798,0.14172035922940587,-0.3752333709536673,0.8025987978966846,-2.717014899086386,-0.7539920458951042,-2.724544568371286,-1.5936116547247139,-2.6911710696755295
24,110000,4.841426506556889,23.342700729924573,-0.7991127556483837,0.1099743419819113,0.14242805462590635,-0.3761010266871762,0.8000700246567082,-2.7176434066765682,-0.750126362265265,-2.7380364025643007,-1.5790542404281236,-2.684977295051087
25,120000,4.8413819548200845,23.342700729924573,-0.7975135845362724,0.1120638931095246,0.1430259864723317,-0.37684699194150717,0.7979009949873238,-2.718155868075261,-0.746962534355912,-2.749218325302744,-1.5667449109902323,-2.6799821441503
